CpuTime,PID,StartingBurstTime,EndingBurstTime,CompletionTime
0,15,198,148,0
53,11,225,175,0
106,23,596,546,0
159,13,382,332,0
212,8,210,160,0
265,25,71,21,0
318,15,148,98,0
371,20,423,373,0
424,9,845,795,0
477,6,760,710,0
530,21,336,286,0
583,13,332,282,0
636,21,286,236,0
689,10,573,523,0
742,15,98,48,0
795,8,160,110,0
848,22,799,749,0
901,23,546,496,0
954,23,496,446,0
1007,23,446,396,0
1060,24,680,630,0
1113,15,48,0,1161
1164,1,931,881,0
1217,16,867,817,0
1270,21,236,186,0
1323,2,991,941,0
1376,16,817,767,0
1429,23,396,346,0
1482,25,21,0,1503
1506,22,749,699,0
1559,11,175,125,0
1612,10,523,473,0
1665,22,699,649,0
1718,2,941,891,0
1771,8,110,60,0
1824,18,30,0,1854
1857,21,186,136,0
1910,3,683,633,0
1963,23,346,296,0
2016,1,881,831,0
2069,24,630,580,0
2122,27,392,342,0
2175,1,831,781,0
2228,27,342,292,0
2281,20,373,323,0
2334,26,754,704,0
2387,21,136,86,0
2440,21,86,36,0
2493,24,580,530,0
2546,7,772,722,0
2599,24,530,480,0
2652,22,649,599,0
2705,11,125,75,0
2758,20,323,273,0
2811,20,273,223,0
2864,2,891,841,0
2917,2,841,791,0
2970,20,223,173,0
3023,22,599,549,0
3076,20,173,123,0
3129,9,795,745,0
3182,27,292,242,0
3235,13,282,232,0
3288,20,123,73,0
3341,1,781,731,0
3394,9,745,695,0
3447,27,242,192,0
3500,27,192,142,0
3553,23,296,246,0
3606,4,404,354,0
3659,8,60,10,0
3712,21,36,0,3748
3751,9,695,645,0
3804,23,246,196,0
3857,2,791,741,0
3910,10,473,423,0
3963,16,767,717,0
4016,27,142,92,0
4069,8,10,0,4079
4082,1,731,681,0
4135,1,681,631,0
4188,23,196,146,0
4241,23,146,96,0
4294,2,741,691,0
4347,16,717,667,0
4400,2,691,641,0
4453,2,641,591,0
4506,10,423,373,0
4559,6,710,660,0
4612,24,480,430,0
4665,11,75,25,0
4718,1,631,581,0
4771,24,430,380,0
4824,2,591,541,0
4877,24,380,330,0
4930,1,581,531,0
4983,9,645,595,0
5036,22,549,499,0
5089,11,25,0,5114
5117,14,524,474,0
5170,22,499,449,0
5223,1,531,481,0
5276,2,541,491,0
5329,24,330,280,0
5382,24,280,230,0
5435,10,373,323,0
5488,23,96,46,0
5541,26,704,654,0
5594,16,667,617,0
5647,22,449,399,0
5700,1,481,431,0
5753,16,617,567,0
5806,20,73,23,0
5859,23,46,0,5905
5908,2,491,441,0
5961,16,567,517,0
6014,24,230,180,0
6067,10,323,273,0
6120,22,399,349,0
6173,10,273,223,0
6226,6,660,610,0
6279,20,23,0,6302
6305,13,232,182,0
6358,6,610,560,0
6411,2,441,391,0
6464,4,354,304,0
6517,5,929,879,0
6570,22,349,299,0
6623,12,874,824,0
6676,22,299,249,0
6729,12,824,774,0
6782,22,249,199,0
6835,12,774,724,0
6888,1,431,381,0
6941,16,517,467,0
6994,22,199,149,0
7047,22,149,99,0
7100,1,381,331,0
7153,6,560,510,0
7206,16,467,417,0
7259,16,417,367,0
7312,2,391,341,0
7365,10,223,173,0
7418,22,99,49,0
7471,10,173,123,0
7524,9,595,545,0
7577,1,331,281,0
7630,1,281,231,0
7683,24,180,130,0
7736,24,130,80,0
7789,10,123,73,0
7842,12,724,674,0
7895,1,231,181,0
7948,10,73,23,0
8001,26,654,604,0
8054,10,23,0,8077
8080,24,80,30,0
8133,16,367,317,0
8186,22,49,0,8235
8238,26,604,554,0
8291,12,674,624,0
8344,6,510,460,0
8397,14,474,424,0
8450,27,92,42,0
8503,12,624,574,0
8556,9,545,495,0
8609,24,30,0,8639
8642,1,181,131,0
8695,12,574,524,0
8748,12,524,474,0
8801,2,341,291,0
8854,2,291,241,0
8907,2,241,191,0
8960,9,495,445,0
9013,16,317,267,0
9066,2,191,141,0
9119,16,267,217,0
9172,2,141,91,0
9225,27,42,0,9267
9270,12,474,424,0
9323,6,460,410,0
9376,4,304,254,0
9429,1,131,81,0
9482,2,91,41,0
9535,3,633,583,0
9588,2,41,0,9629
9632,12,424,374,0
9685,7,722,672,0
9738,12,374,324,0
9791,13,182,132,0
9844,1,81,31,0
9897,13,132,82,0
9950,6,410,360,0
10003,16,217,167,0
10056,16,167,117,0
10109,9,445,395,0
10162,6,360,310,0
10215,26,554,504,0
10268,13,82,32,0
10321,6,310,260,0
10374,1,31,0,10405
10408,4,254,204,0
10461,16,117,67,0
10514,16,67,17,0
10567,3,583,533,0
10620,4,204,154,0
10673,6,260,210,0
10726,16,17,0,10743
10746,17,897,847,0
10799,12,324,274,0
10852,26,504,454,0
10905,6,210,160,0
10958,6,160,110,0
11011,26,454,404,0
11064,26,404,354,0
11117,9,395,345,0
11170,9,345,295,0
11223,6,110,60,0
11276,12,274,224,0
11329,9,295,245,0
11382,7,672,622,0
11435,13,32,0,11467
11470,4,154,104,0
11523,4,104,54,0
11576,6,60,10,0
11629,9,245,195,0
11682,9,195,145,0
11735,3,533,483,0
11788,6,10,0,11798
11801,19,94,44,0
11854,26,354,304,0
11907,9,145,95,0
11960,9,95,45,0
12013,4,54,4,0
12066,4,4,0,12070
12073,9,45,0,12118
12121,12,224,174,0
12174,12,174,124,0
12227,3,483,433,0
12280,19,44,0,12324
12327,12,124,74,0
12380,12,74,24,0
12433,12,24,0,12457
12460,26,304,254,0
12513,5,879,829,0
12566,26,254,204,0
12619,26,204,154,0
12672,14,424,374,0
12725,26,154,104,0
12778,26,104,54,0
12831,26,54,4,0
12884,3,433,383,0
12937,3,383,333,0
12990,7,622,572,0
13043,26,4,0,13047
13050,17,847,797,0
13103,5,829,779,0
13156,14,374,324,0
13209,14,324,274,0
13262,14,274,224,0
13315,5,779,729,0
13368,5,729,679,0
13421,14,224,174,0
13474,7,572,522,0
13527,3,333,283,0
13580,5,679,629,0
13633,3,283,233,0
13686,7,522,472,0
13739,7,472,422,0
13792,14,174,124,0
13845,3,233,183,0
13898,3,183,133,0
13951,17,797,747,0
14004,3,133,83,0
14057,3,83,33,0
14110,5,629,579,0
14163,14,124,74,0
14216,14,74,24,0
14269,5,579,529,0
14322,3,33,0,14355
14358,5,529,479,0
14411,14,24,0,14435
14438,5,479,429,0
14491,7,422,372,0
14544,5,429,379,0
14597,7,372,322,0
14650,7,322,272,0
14703,7,272,222,0
14756,7,222,172,0
14809,5,379,329,0
14862,7,172,122,0
14915,7,122,72,0
14968,5,329,279,0
15021,5,279,229,0
15074,17,747,697,0
15127,5,229,179,0
15180,7,72,22,0
15233,5,179,129,0
15286,7,22,0,15308
15311,5,129,79,0
15364,5,79,29,0
15417,17,697,647,0
15470,5,29,0,15499
15502,17,647,597,0
15552,17,597,547,0
15602,17,547,497,0
15652,17,497,447,0
15702,17,447,397,0
15752,17,397,347,0
15802,17,347,297,0
15852,17,297,247,0
15902,17,247,197,0
15952,17,197,147,0
16002,17,147,97,0
16052,17,97,47,0
16102,17,47,0,16149
